,Compound,Date,Negative,Neutral,Positive,Tweets Ago
78,0.0,Sun Jun 10 23:59:00 +0000 2018,1.0,0.0,0.0,79
79,0.0,Sun Jun 10 23:18:15 +0000 2018,1.0,0.0,0.0,80
80,0.0,Sun Jun 10 22:01:25 +0000 2018,1.0,0.0,0.0,81
81,0.4184,Sun Jun 10 15:00:01 +0000 2018,0.843,0.0,0.157,82
82,0.5093,Sat Jun 09 21:00:02 +0000 2018,0.845,0.0,0.155,83
83,0.0,Sat Jun 09 16:00:00 +0000 2018,1.0,0.0,0.0,84
84,0.296,Fri Jun 08 19:46:17 +0000 2018,0.82,0.0,0.18,85
85,0.0,Fri Jun 08 15:00:03 +0000 2018,1.0,0.0,0.0,86
86,0.9078,Fri Jun 08 13:58:15 +0000 2018,0.564,0.0,0.436,87
87,0.3612,Thu Jun 07 17:03:26 +0000 2018,0.872,0.0,0.128,88
88,0.2732,Wed Jun 06 21:00:24 +0000 2018,0.719,0.105,0.176,89
89,0.3595,Wed Jun 06 00:08:30 +0000 2018,0.872,0.0,0.128,90
90,-0.4404,Tue Jun 05 22:23:35 +0000 2018,0.723,0.177,0.1,91
91,0.4574,Tue Jun 05 22:12:28 +0000 2018,0.824,0.0,0.176,92
92,0.5093,Tue Jun 05 19:00:02 +0000 2018,0.845,0.0,0.155,93
93,0.0,Tue Jun 05 15:04:41 +0000 2018,1.0,0.0,0.0,94
94,0.0,Mon Jun 04 17:00:00 +0000 2018,1.0,0.0,0.0,95
95,-0.3903,Fri Jun 01 17:39:17 +0000 2018,0.807,0.131,0.062,96
96,0.8442,Fri Jun 01 17:00:03 +0000 2018,0.664,0.0,0.336,97
97,0.8932,Thu May 31 23:50:00 +0000 2018,0.545,0.0,0.455,98
98,0.4926,Wed May 30 15:07:34 +0000 2018,0.849,0.0,0.151,99
99,0.0,Mon May 28 21:00:01 +0000 2018,1.0,0.0,0.0,100
